cloudiness,country,dt,humidity,lat,lon,max_temperature,wind_speed
20,HN,1567226992,78,15.09,-87.97,80.6,3.44
100,NG,1567227570,91,4.97,7.66,74.57,4.29
0,AL,1567227570,58,40.49,19.83,78.71,2.91
53,ET,1567227570,85,8.15,35.53,65.39,1.39
0,CL,1567227570,93,-29.95,-71.34,50,5.82
75,LA,1567227548,94,17.96,102.61,78.8,9.17
49,ID,1567227570,87,-0.87,134.08,77.09,2.8
48,RU,1567227571,31,53.58,126.91,72.23,3.27
0,AU,1567227005,5,-25.24,130.99,82.4,8.05
15,RU,1567227571,53,58.97,126.27,63.59,2.84
100,NO,1567227571,91,71.03,27.85,53.69,6.62
0,CD,1567227572,36,-7.04,29.76,77.99,2.59
90,CL,1567227572,100,-41.77,-73.13,42.8,1.12
75,RU,1567227572,66,64.73,177.51,55.4,11.18
47,ML,1567227572,48,16.77,-3.01,86.63,10
40,PK,1567227572,66,32.33,73.78,89.6,4.7
0,TR,1567227573,35,37.51,34.05,70.97,4.83
99,NG,1567227573,93,5.43,7.07,74.21,3.31
99,RU,1567227573,82,61.94,76.66,56.57,15.88
75,IN,1567227573,88,24.14,74.05,80.6,9.06
64,RU,1567227574,39,62.1,126.7,64.67,3.44
1,US,1567227574,88,29.56,-104.41,73.4,4.25
45,AU,1567227005,45,-13.85,136.42,82.4,10.29
15,OM,1567227574,31,22.57,59.53,94.19,11.86
100,RU,1567226999,94,46.45,135.83,61.25,4.85
1,US,1567227394,35,41.73,-111.83,77,5.82
90,US,1567227575,77,40.24,-100.42,69.8,6.93
1,US,1567227575,82,38.05,-84.5,73.4,3.18
86,NE,1567227575,51,14.73,0.92,82.85,7.99
75,CI,1567227575,94,5.21,-4.42,77,6.93
34,RU,1567227576,77,66,57.56,46.31,13.82
47,CA,1567227576,63,50.14,-101.67,57.65,5.46
0,GF,1567227582,94,4.94,-52.33,77,2.24
100,PH,1567227582,80,12.17,124.59,81.23,9.57
5,ZW,1567227583,39,-18.93,29.81,68.63,5.88
55,IT,1567227584,93,40.76,15.54,73.99,1.54
0,PF,1567226986,77,-16.48,-151.75,77.81,10.67
82,UA,1567227584,27,48.21,30.02,71.33,2.64
22,ID,1567227584,44,-7.38,108.21,82.31,9.91
0,FR,1567227585,93,47.59,1.33,62.6,3.27
33,ML,1567227406,83,13.3,-4.9,76.01,6.89
0,FR,1567227585,93,46.42,3.91,59,4.43
0,GL,1567227585,28,68.82,-51.19,44.6,5.82
40,PF,1567227585,74,-17.5,-149.87,80.6,11.41
1,US,1567227586,87,41.11,-90.4,59,5.82
1,US,1567227586,77,40.39,-90.15,64.99,3.36
20,CY,1567227586,78,34.92,32.53,78.8,9.17
97,RU,1567227586,71,68.75,161.3,39.11,7.34
59,BR,1567227586,72,-1.77,-55.87,79.07,4.79
0,FR,1567227587,72,48.39,5.49,62.6,6.35
62,RU,1567227020,53,62.06,48.62,54.41,3.91
75,SB,1567227587,66,-9.43,159.96,87.8,4.7
9,ID,1567226997,40,-3.75,103.64,85.37,5.48
40,IT,1567227587,88,45.18,8.4,73.99,6.93
40,SE,1567227588,93,65.83,21.69,57.2,8.05
13,KG,1567227588,52,42.34,78,66.11,1.63
40,RW,1567227588,82,-1.95,30.43,64.4,2.24
40,BZ,1567227588,100,16.17,-88.94,77,2.17
40,AU,1567227004,46,-28.95,153.24,69.8,8.05
0,AO,1567227589,25,-17.07,15.73,58.01,3.11
20,AT,1567227589,93,47.24,10.74,62.01,1.12
0,IR,1567227589,26,36.21,58.79,71.87,1.43
5,RU,1567227589,46,60.35,102.28,68.81,5.28
33,ML,1567227362,83,13.3,-4.9,76.01,6.89
82,SD,1567227590,82,11.01,29.72,77.63,5.97
0,SO,1567227590,39,11.28,49.18,95,20.8
54,SL,1567227590,97,7.62,-11.83,72.05,1.01
100,PG,1567227590,82,-3.66,152.44,79.79,22.01
16,SO,1567227024,44,9.49,50.81,88.43,28.57
0,SK,1567227591,93,48.71,18.92,60.01,2.53
39,IN,1567227591,64,28.24,80.11,90.59,3.96
90,AU,1567227591,59,-34.67,150.86,66,6.93
75,ID,1567227592,48,5.18,97.15,88.61,3.98
1,US,1567227592,93,41.49,-71.31,71.6,4
90,US,1567227592,93,48.41,-114.33,59,2.19
64,RU,1567227592,53,53.05,158.65,71.6,11.18
53,NZ,1567227592,85,-46.13,167.69,53.01,15.01
96,BF,1567227593,57,14.45,-0.24,81.95,1.72
0,FR,1567227593,72,43.56,6.97,75.2,3.36
0,DE,1567227593,88,51.3,13.31,68,8.05
0,RU,1567227593,36,57.31,88.17,72.95,6.38
80,AU,1567227594,16,-20.77,117.15,90.59,3.22
95,CF,1567227594,91,10.3,22.78,73.85,3.02
33,AR,1567227594,58,-43.3,-65.11,43.97,15.21
7,CL,1567227594,99,-37.72,-72.23,35.87,3.85
20,ID,1567227026,54,-8.71,116.27,84.2,12.75
40,SN,1567227595,100,14.69,-16.54,75.2,2.24
0,DZ,1567227595,56,36.25,0.85,71.6,13.51
0,NZ,1567227595,73,-38.66,178.02,53.51,6.87
40,AU,1567227595,44,-16.92,145.77,82,10.29
100,CO,1567227596,82,4.95,-77.37,80.15,7.52
75,RU,1567227596,87,54.96,60.77,46.4,15.66
68,BR,1567227596,40,-19.73,-50.2,75.47,5.61
75,NO,1567227597,87,62.58,6.12,57.2,19.35
93,PA,1567227597,74,8.46,-82.28,57,1.99
18,RU,1567227597,47,67.8,130.41,51.71,4.14
48,RU,1567227597,80,68.05,39.51,59.09,16.89
90,US,1567227540,93,40.7,-99.08,66.2,9.17
97,MG,1567227598,67,-14.27,50.17,70.43,2.26
1,US,1567227352,93,34.73,-86.59,72,4.7
100,LK,1567227598,34,7.42,81.82,94.91,6.87
100,RU,1567227598,85,66.83,70.83,48.47,15.84
20,MG,1567227598,94,-18.17,49.38,68,3.36
65,PH,1567227599,72,8.11,123.9,85.37,2.82
0,CD,1567227572,36,-7.04,29.76,77.99,2.59
40,JP,1567227599,51,40.81,140.39,82.4,14.99
73,RU,1567227599,55,57.69,93.28,76.73,2.06
1,US,1567226947,52,45.79,-108.5,66.2,8.05
39,BR,1567227599,66,-5.01,-63,75.47,1.1
65,ID,1567227600,52,-2.54,112.95,88.97,3.13
100,RU,1567227600,92,48.19,136.14,63.95,2.26
0,IR,1567227005,22,32.31,54.02,78.8,4.7
1,US,1567227600,49,33.33,-105.67,82.4,1.88
98,RU,1567227516,82,60.37,93.04,62.87,2.89
0,CD,1567227601,36,-7.04,29.76,77.99,2.59
33,ML,1567227601,83,13.3,-4.9,76.01,6.89
45,RU,1567227601,39,57.96,102.73,73.31,5.48
67,MX,1567227601,94,18.61,-90.75,74.57,2.1
100,KZ,1567227601,70,48.68,71.64,48.83,20.15
